,date,id,content,username
44,2023-02-12 23:54:03,1624919796633550851,"KC @ PHI: Touchdowns
Winner!! (Philadelphia Eagles) Jalen Hurts Over 0.5 (-130)",NFL_Covers
45,2023-02-12 23:42:19,1624916843327619077,"Coin toss time- Kansas City Chiefs tails, Philadelphia Eagles heads. The coin toss winner- Kansas City. LET'S GO!!! #SuperBowl #KansasCityChiefs #PhiladelphiaEagles",Junocomm
46,2023-02-12 23:39:17,1624916078211002368,"Congratulations to the Philadelphia Eagles for winning Super Bowl 57 by losing the coin toss, let's make it 9 years in a row that the coin toss winner loses the game https://t.co/bpzzZmj6gH",WhattaHoser
47,2023-02-12 23:13:56,1624909698813108224,You know that the Philadelphia Eagles fans are in the house when the Walter Payton Man of the Year award winner gets booed… 🤣 Poor #DakPrescott https://t.co/j69BKpbYE2,ron_wen
48,2023-02-12 23:10:35,1624908855598624770,They're booing NFL Man of the Year award winner Dak Prescott just in case you were wondering if there were Philadelphia Eagles fans in attendance. #SuperBowl,nascarcasm
49,2023-02-12 22:45:02,1624902428377374721,"I’m hoping for a very close and competitive Super Bowl LVII. For overall score and winner, I’m going:

Kansas City Chiefs 27
Philadelphia Eagles 20

#SuperBowl https://t.co/qufHCObGSl",_thefailedjedi
50,2023-02-12 22:40:54,1624901386616950786,My NFL Super Bowl LVII winner prediction is Philadelphia Eagles 28 Kansas City Chiefs 21. #SuperBowl,DavidCigam
51,2023-02-12 22:36:29,1624900275013124096,@leannrimes Leanne I think the Philadelphia Eagles will win much love for Rihanna don't get me wrong but laying around is always a winner,Kddavid1209
52,2023-02-12 22:22:47,1624896826645049344,The #SuperBowl is here! 🏈 Will the Philadelphia Eagles or the Kansas City Chiefs come out on top? Who's your pick for the winner? Share your predictions with us using #FlyEaglesFly or #ChiefsKingdom! #inspireone #i1one #inspireonegroup #sby #delmarva #easternshoremd https://t.co/O2185N7410,I1Mag
53,2023-02-12 22:22:42,1624896807384887297,"IT'S #SBLVII GAMEDAY!!! Can you predict the winner?🏈

Kansas City Chiefs (2.05)🆚Philadelphia Eagles (1.80)

How to bet on NFL
👉https://t.co/ZqSjCm6s9V 

@Eagles @Chiefs @NFL #NFLPlayoffs #NFL #SuperBowlLVII  #KCvsPHI #ChiefsKingdom #ItsAPhillyThing #FlyEaglesFly https://t.co/hyaqM2fvLY",Pixelcasino_
